epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
12,1066.45,1.17428,5.78445,0.20304,0.96569,1.05816,0.81915,0.79929,0.83091,0.48133,0.44545,0.21571,0.1594,0.02364,1.37548,7.05131,0.0845,1.28147,1.24915,0.00148546,0.00148546,0.00148546
13,1154.41,1.10588,5.5909,0.18034,0.93045,1.07052,0.91541,0.89824,0.9421,0.53525,0.27786,0.23571,0.12965,0.03596,1.4404,6.63096,0.08812,1.12599,1.3327,0.00146896,0.00146896,0.00146896
14,1242.3,1.09876,5.30278,0.20188,0.89685,1.08075,0.88892,0.8612,0.88575,0.52942,0.46964,0.33143,0.23558,0.06481,1.37078,6.51244,0.08752,1.05875,1.25831,0.00145246,0.00145246,0.00145246
15,1330.77,1.07691,5.38465,0.21275,0.88796,1.03734,0.87942,0.82456,0.89831,0.56779,0.45729,0.31571,0.2481,0.06482,1.29133,6.51535,0.09156,0.96722,1.19661,0.00143595,0.00143595,0.00143595
16,1418.92,1.02127,5.25205,0.21766,0.83552,1.05749,0.93249,0.88857,0.96002,0.58822,0.66131,0.35123,0.28567,0.06359,1.25228,6.09737,0.09755,0.89038,1.16648,0.00141945,0.00141945,0.00141945
17,1506.62,1.04347,5.12797,0.19083,0.823,1.03965,0.89115,0.815,0.87164,0.54077,0.61694,0.29818,0.23947,0.07442,1.31075,6.47879,0.0826,0.97027,1.22674,0.00140295,0.00140295,0.00140295
18,1593.91,0.98362,5.05476,0.19144,0.79813,1.02993,0.89019,0.86643,0.91393,0.57331,0.35418,0.29143,0.21711,0.04829,1.29656,6.70439,0.10036,0.90271,1.26148,0.00138644,0.00138644,0.00138644
19,1681.18,0.96523,5.04482,0.18828,0.79404,1.03158,0.91997,0.80513,0.9241,0.58349,0.48733,0.31311,0.26597,0.08472,1.26591,6.62719,0.1156,0.92861,1.18102,0.00136994,0.00136994,0.00136994
20,1768.98,0.98202,4.9328,0.18884,0.79377,1.02795,0.87724,0.88643,0.95298,0.62393,0.45348,0.34929,0.24855,0.07675,1.19741,6.28154,0.09951,0.80535,1.16168,0.00135344,0.00135344,0.00135344
21,1857.06,0.94326,4.5788,0.16763,0.7262,0.99001,0.91041,0.82949,0.94719,0.59423,0.52307,0.29571,0.25449,0.07808,1.30976,6.34736,0.09293,0.89709,1.27344,0.00133693,0.00133693,0.00133693
22,1944.75,0.9816,4.43975,0.15121,0.73037,0.99466,0.89244,0.88643,0.93105,0.5361,0.44327,0.33357,0.28361,0.10112,1.49179,6.24193,0.08287,0.89508,1.32834,0.00132043,0.00132043,0.00132043
23,2032.43,0.92072,4.42215,0.1676,0.70972,0.98759,0.88205,0.897,0.9419,0.61969,0.35687,0.35143,0.22828,0.0567,1.19994,6.20444,0.07799,0.8489,1.22148,0.00130393,0.00130393,0.00130393
24,2120.04,0.88043,4.59737,0.16171,0.68017,1.00207,0.90288,0.89077,0.94122,0.59764,0.40575,0.33143,0.22096,0.06937,1.26775,6.38439,0.13434,0.77284,1.26625,0.00128742,0.00128742,0.00128742
25,2207.89,0.904,4.49203,0.1772,0.71113,1.01679,0.94494,0.88643,0.93293,0.58949,0.50006,0.35357,0.29642,0.08286,1.2095,6.29973,0.11125,0.82248,1.2457,0.00127092,0.00127092,0.00127092
26,2295.61,0.87231,4.1812,0.18545,0.6877,1.02253,0.94797,0.91091,0.92297,0.5542,0.46697,0.28929,0.20956,0.07744,1.33616,6.54715,0.09003,0.7953,1.2809,0.00125442,0.00125442,0.00125442
27,2383.16,0.8622,4.32361,0.19698,0.67601,1.02331,0.85496,0.85009,0.90011,0.58076,0.43452,0.25143,0.17695,0.07065,1.36988,6.38293,0.078,0.86548,1.28935,0.00123791,0.00123791,0.00123791
28,2470.71,0.88974,4.33922,0.20017,0.67539,1.02611,0.90621,0.8803,0.8975,0.54199,0.41452,0.31143,0.23857,0.07488,1.3829,6.41288,0.08746,0.85011,1.34747,0.00122141,0.00122141,0.00122141
29,2559.08,0.90667,4.12568,0.17451,0.66689,1.03487,0.99965,0.84395,0.94219,0.56606,0.38629,0.32929,0.24299,0.09747,1.37022,6.1704,0.07992,0.86068,1.30842,0.00120491,0.00120491,0.00120491
30,2657.2,0.85734,4.21912,0.1912,0.66286,1.02875,0.90629,0.88319,0.95091,0.61668,0.48365,0.405,0.32399,0.10361,1.23746,6.10944,0.09544,0.79358,1.17751,0.0011884,0.0011884,0.0011884
31,2747.08,0.84628,4.15482,0.1815,0.64417,1.01176,0.91959,0.88857,0.94925,0.64502,0.47364,0.35143,0.28247,0.09838,1.13772,5.82763,0.0889,0.7646,1.12501,0.0011719,0.0011719,0.0011719
32,2837.37,0.84632,4.17457,0.17525,0.64614,0.98786,0.96975,0.86146,0.9524,0.61185,0.41573,0.36929,0.25695,0.08499,1.20622,5.69342,0.07498,0.74991,1.16433,0.0011554,0.0011554,0.0011554
33,2930.2,0.83167,4.05915,0.17029,0.65342,0.98685,0.9006,0.87123,0.95242,0.63164,0.49374,0.34929,0.28986,0.08152,1.1373,5.54641,0.10769,0.78122,1.13711,0.00113889,0.00113889,0.00113889
34,3019.86,0.82007,3.87135,0.17969,0.63707,0.97356,0.97173,0.92356,0.97453,0.67173,0.5017,0.37143,0.30762,0.0918,1.09835,5.58256,0.16939,0.70068,1.1415,0.00112239,0.00112239,0.00112239
35,3108.96,0.80797,3.93627,0.18186,0.62164,0.97191,0.99251,0.90643,0.98318,0.66127,0.50554,0.37143,0.30746,0.08888,1.12137,5.91989,0.23247,0.6381,1.14545,0.00110589,0.00110589,0.00110589
36,3197.04,0.78457,3.69544,0.15458,0.56915,0.96744,0.99074,0.90643,0.97489,0.65963,0.46839,0.31143,0.22394,0.06945,1.10483,6.19693,0.21994,0.68053,1.14674,0.00108938,0.00108938,0.00108938
37,3285.18,0.80833,3.94632,0.18545,0.60955,0.95459,0.9742,0.94346,0.96803,0.64896,0.47307,0.31357,0.25179,0.0782,1.14395,6.25746,0.19434,0.74048,1.15059,0.00107288,0.00107288,0.00107288
38,3375.79,0.77341,3.48509,0.15268,0.5931,0.96297,0.94135,0.95779,0.9597,0.65711,0.45987,0.36929,0.29072,0.11385,1.09797,5.75033,0.07112,0.68507,1.12379,0.00105638,0.00105638,0.00105638
39,3467.01,0.82632,3.88982,0.19494,0.61445,0.99526,0.8892,0.95643,0.98262,0.67541,0.53499,0.38714,0.34045,0.1194,1.12382,5.63066,0.08011,0.65366,1.12195,0.00103987,0.00103987,0.00103987
40,3559.27,0.78889,3.65524,0.15633,0.56254,0.94805,0.95658,0.98,0.9919,0.7064,0.54438,0.3837,0.30861,0.11419,1.06261,5.64227,0.14695,0.62628,1.10023,0.00102337,0.00102337,0.00102337
41,3650.55,0.7872,3.73469,0.1763,0.59452,0.94561,0.94549,0.95724,0.96825,0.67482,0.46595,0.40286,0.32451,0.12276,1.08351,5.64071,0.1318,0.65209,1.10479,0.00100687,0.00100687,0.00100687
42,3745.52,0.75679,3.81029,0.17644,0.58603,0.95019,0.92083,0.91249,0.95759,0.64181,0.46151,0.36714,0.30602,0.11586,1.15073,5.52822,0.09045,0.67991,1.13717,0.000990365,0.000990365,0.000990365
43,3834.95,0.78387,3.55289,0.19128,0.59789,0.97092,0.89864,0.84857,0.93576,0.62114,0.46409,0.34634,0.31227,0.11067,1.18511,5.79825,0.08688,0.70775,1.16935,0.000973861,0.000973861,0.000973861
44,3925.21,0.73909,3.45701,0.1547,0.563,0.95188,0.97029,0.845,0.95427,0.61792,0.47839,0.34929,0.27933,0.09152,1.19953,6.05235,0.09177,0.78923,1.20633,0.000957358,0.000957358,0.000957358
45,4016.31,0.73343,3.33232,0.16065,0.55272,0.94499,0.97685,0.88599,0.9451,0.62922,0.52997,0.32929,0.24978,0.09181,1.1541,6.13603,0.09159,0.74514,1.18385,0.000940855,0.000940855,0.000940855
46,4107.44,0.71028,3.33679,0.15022,0.54666,0.92572,0.92285,0.88465,0.96501,0.65688,0.6992,0.32929,0.27476,0.10685,1.10083,6.0162,0.09355,0.77136,1.13232,0.000924352,0.000924352,0.000924352
