epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,489.899,0.76538,4.10324,0.1487,0.54828,0.94335,0.91753,0.88265,0.96104,0.64511,0.45713,0.36865,0.31562,0.10545,1.14863,6.2232,0.22207,0.68915,1.14946,0.000957358,0.000957358,0.000957358
45,499.586,0.73836,3.81791,0.15034,0.52794,0.95364,0.92139,0.90429,0.9685,0.63086,0.3598,0.34714,0.28544,0.08594,1.2032,6.4509,0.13788,0.70526,1.18935,0.000940855,0.000940855,0.000940855
46,509.407,0.81177,4.17948,0.1632,0.5644,0.98912,0.96175,0.86803,0.97294,0.61674,0.418,0.32929,0.28259,0.0904,1.17835,6.27572,0.16119,0.68191,1.18713,0.000924352,0.000924352,0.000924352
47,519.627,0.74809,4.08765,0.14091,0.5417,0.93743,0.91841,0.88866,0.9657,0.63982,0.45352,0.29357,0.26759,0.10167,1.12584,6.41026,0.10884,0.69216,1.14091,0.000907848,0.000907848,0.000907848
48,528.753,0.70587,3.76653,0.13712,0.53108,0.93589,0.94762,0.86643,0.94751,0.57786,0.37733,0.29143,0.24613,0.09452,1.23404,6.47927,0.1267,0.72225,1.19107,0.000891345,0.000891345,0.000891345
49,538.534,0.72428,3.95058,0.16945,0.53142,0.95122,0.98729,0.8753,0.94701,0.58603,0.46554,0.34714,0.27129,0.09371,1.22831,6.35675,0.16178,0.73155,1.2011,0.000874842,0.000874842,0.000874842
50,548.588,0.66945,3.52999,0.12243,0.49702,0.90266,0.95586,0.864,0.90481,0.59208,0.40213,0.28714,0.21311,0.09112,1.21959,6.43492,0.12632,0.77838,1.2115,0.000858338,0.000858338,0.000858338
51,560.413,0.691,3.75709,0.16065,0.49549,0.92553,0.82153,0.8059,0.84368,0.5702,0.36632,0.29249,0.25328,0.10434,1.22087,6.2378,0.09922,0.78079,1.23132,0.000841835,0.000841835,0.000841835
52,572.401,0.63826,3.5638,0.14743,0.46103,0.92883,0.88417,0.81286,0.88015,0.56935,0.41487,0.32929,0.25263,0.09867,1.24706,6.12887,0.09729,0.81989,1.24319,0.000825332,0.000825332,0.000825332
53,584.484,0.68416,3.65565,0.18224,0.52832,0.95579,0.87669,0.86898,0.94908,0.60872,0.36167,0.29357,0.25923,0.08449,1.16424,6.13539,0.08512,0.71178,1.17011,0.000808828,0.000808828,0.000808828
54,594.659,0.6839,3.60802,0.15844,0.50439,0.9218,0.90241,0.8558,0.93035,0.60688,0.41868,0.30929,0.22237,0.08819,1.12236,6.05241,0.12307,0.66692,1.1348,0.000792325,0.000792325,0.000792325
55,607.009,0.67143,3.44726,0.14313,0.50672,0.92502,0.88693,0.91718,0.9765,0.62847,0.47013,0.34929,0.29898,0.10177,1.12923,6.12932,0.18881,0.635,1.15791,0.000775822,0.000775822,0.000775822
56,615.894,0.66495,3.43258,0.13876,0.47919,0.90573,0.91952,0.92992,0.97398,0.63942,0.48561,0.32714,0.26231,0.10055,1.15281,6.03783,0.1974,0.67582,1.15225,0.000759318,0.000759318,0.000759318
57,628.848,0.64698,3.17699,0.13501,0.46828,0.89861,0.89089,0.91977,0.96438,0.63314,0.48438,0.36714,0.33319,0.12179,1.12843,5.94893,0.1703,0.67144,1.14502,0.000742815,0.000742815,0.000742815
58,639.072,0.65809,3.47843,0.15528,0.48535,0.95174,0.88474,0.8831,0.95397,0.64939,0.52601,0.38929,0.35024,0.1413,1.05559,5.95638,0.16942,0.62275,1.08352,0.000726312,0.000726312,0.000726312
59,651.791,0.64037,3.38888,0.13834,0.48101,0.91465,0.95161,0.86368,0.95701,0.63625,0.50856,0.36714,0.34753,0.14247,1.07566,5.99825,0.14835,0.65086,1.098,0.000709809,0.000709809,0.000709809
60,661.394,0.64745,3.2832,0.1433,0.47997,0.91499,0.93262,0.91872,0.96142,0.62423,0.44226,0.34714,0.26831,0.12039,1.14604,6.12793,0.13183,0.71642,1.14932,0.000693305,0.000693305,0.000693305
