epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,41711.2,1.40273,0.64262,0.88664,0.88083,0.84897,0.89343,0.57146,1.49135,1.05484,0.89953,0.0003763,0.0003763,0.0003763
65,42360.4,1.41271,0.64925,0.89178,0.86113,0.85463,0.89215,0.56556,1.49176,0.98488,0.90596,0.0003664,0.0003664,0.0003664
66,43009.6,1.3955,0.64032,0.88451,0.88384,0.85328,0.89341,0.56898,1.50735,0.92621,0.90341,0.0003565,0.0003565,0.0003565
67,43660.8,1.39205,0.64008,0.88735,0.89732,0.85132,0.90465,0.58167,1.47804,1.01105,0.89786,0.0003466,0.0003466,0.0003466
68,44315,1.39484,0.64272,0.88475,0.89743,0.8393,0.89387,0.55655,1.57244,1.12509,0.92062,0.0003367,0.0003367,0.0003367
69,44973,1.39332,0.64037,0.88811,0.88794,0.83928,0.8945,0.56814,1.50366,0.98352,0.9057,0.0003268,0.0003268,0.0003268
70,45629.5,1.38554,0.637,0.88481,0.90717,0.84493,0.89677,0.5712,1.49931,0.9437,0.91102,0.0003169,0.0003169,0.0003169
71,46277.9,1.37675,0.63422,0.88166,0.87239,0.84894,0.9021,0.57745,1.49011,0.86393,0.89926,0.000307,0.000307,0.000307
72,46924.3,1.37435,0.63083,0.88044,0.86917,0.84714,0.89404,0.5701,1.51199,0.85313,0.90247,0.0002971,0.0002971,0.0002971
73,47573.6,1.36996,0.63046,0.88041,0.89815,0.85354,0.90689,0.58789,1.46128,0.98695,0.89335,0.0002872,0.0002872,0.0002872
74,48221.9,1.36328,0.62523,0.88111,0.87208,0.86197,0.90002,0.58298,1.47478,0.87998,0.89364,0.0002773,0.0002773,0.0002773
